CITY,LATITUDE,LONGITUDE
altmerdingsen,52.4667,10.1333
altmersleben,52.6833,11.4333
altmittweida,50.9667,12.95
altmoorhausen,53.0833,8.3667
altmorschen,51.0667,9.6167
altmunster,48.3833,11.25
altmyhl,51.0833,6.1833
altnau,51.75,13.9833
altneudorf,49.4669,8.8031
altoberndorf,48.2833,8.6
altomunster,48.3833,11.25
altona,53.2333,11.4333
altotting,48.2333,12.6833
altrandsberg,49.1167,12.75
altranft,52.7667,14.0833
altranstadt,51.3167,12.1833
altratjensdorf,54.2333,11
altreetz,52.7667,14.1667
altreichenau,48.7667,13.7333
altrich,49.95,6.9167
altrip,49.4356,8.4947
altrosenthal,52.55,14.2833
altrottmannsdorf,50.6667,12.3833
altscheid,50.0167,6.4
altschonau,48.9,13.4667
altschweier,48.7,8.1667
altshausen,47.9333,9.5333
altstadt,52.4167,12.5333
altstadt waldenburg,50.8667,12.6167
altstadten,47.4833,10.2833
altstetten,48.3,11.2833
altstockach,48.15,12
altstrimmig,50.1,7.3
alttann,47.8333,9.7833
altthymen,53.2333,13.1667
alttrebbin,52.6833,14.25
altusried,47.8,10.2167
altwarmbuchen,52.4333,9.8667
altwarp,53.75,14.2833
altweidelbach,49.9833,7.5667
altweilnau,50.3167,8.4167
altwied,50.4833,7.4667
altwiedermus,50.2333,9.05
altwigshagen,53.7,13.8333
altwistedt,53.4167,8.9167
altwittenbek,54.3667,10.05
altwriezen,52.7333,14.2
altwustrow,52.7667,14.2
altzschillen,51,12.7667
alverdissen,52.0333,9.1333
alvern,52.65,10.2
alverskirchen,51.9167,7.8167
alvesen,53.4333,9.8833
alveslohe,53.7833,9.9167
alvesse,52.2167,10.3833
alxing,48.0167,11.9333
alzenau,50.0833,9.0667
alzenau in unterfranken,50.0833,9.0667
alzesberg,48.75,13.4833
alzey,49.7517,8.1161
alzgern,48.25,12.75
alzheim,50.2833,7.2333
am bahnhof,51.8833,8.95
am berge,52.2,7.05
am bruch,51.5667,6.1333
am busch,51.5,7.6667
am damm,52.2333,8.2833
am dammsteg,51.1833,6.85
am heidland,52.6,9.7
am see,47.75,11.7333
am sonnenberg,53.3833,10.8833
am turm,48.2833,8.2
am weinberg,52.6333,12.8833
amalienhof,53.3833,12.8167
ambach,47.8667,11.35
amberg,49.4414,11.8622
amecke,51.3,7.95
amelgatzen,52.0333,9.35
amelhausen,52.95,8.3333
amelinghausen,53.1167,10.2167
amelith,51.7,9.5167
ameln,50.9833,6.4333
amelsburen,51.8833,7.6
amerang,48,12.3167
amerbach,48.9,10.7
amerdingen,48.7333,10.4833
amerika,50.7,12.5167
amern,51.2333,6.25
amesdorf,51.7667,11.6
amlingstadt,49.85,11
amlishagen,49.2642,9.9622
ammelbruch,49.1,10.4667
ammeldingen,49.9,6.25
ammeloe,52.0667,6.7833
ammelshain,51.3,12.6333
ammelstadt,50.7333,11.3167
ammendorf,51.4333,11.9833
ammerbach,50.9,11.55
ammerbuch,48.5547,8.9681
ammerland,47.9,11.3333
ammern,51.2333,10.45
ammerndorf,49.4,10.8667
ammersbek,53.7,10.2
ammerstetten,48.2833,9.9667
ammerthal,47.7333,10.9833
ammertsweiler,49.0894,9.5186
amoltern,48.1273,7.6784
amonau,50.9,8.6833
amoneburg,50.0333,8.2667
amorbach,49.6442,9.2203
amoshof,49.5667,7.7
ampen,51.55,8.05
ampermoching,48.3,11.4833
amperpettenbach,48.3167,11.5333
ampertshausen,48.4167,11.6833
ampferbach,49.85,10.7333
ampfing,48.2667,12.4167
ampfurth,52.0667,11.3167
ampleben,52.1833,10.75
amrichshausen,49.2828,9.7428
amsdorf,51.4667,11.7333
amsham,48.45,13.1667
amshausen,52.0167,8.4167
amstetten,48.5667,9.85
amteroth,50.6667,7.6667
amtmannsdorf,49,11.5333
amtsberg,50.75,13.0056
amtzell,47.7,9.75
an der chaussee,52.35,9.0333
an der wae,51.2,6.1333
anatswald,47.35,10.2667
anbau,50.75,12.75
andechs,47.9833,11.1833
andel,49.9,7.05
andelfingen,48.15,9.4167
andelshofen,47.7833,9.1833
andenhausen,50.6667,10.0667
anderbeck,51.9833,10.9333
anderlingen,53.3667,9.3
andernach,50.4333,7.4
anderten,52.3667,9.85
andervenne oberdorf,52.5167,7.5833
andisleben,51.0833,10.9167
andorf,52.6667,7.8167
andreasberg,51.3333,8.4333
anemolter,52.55,9.0667
angelbachtal,49.2225,8.8103
angelbrechting,48.15,11.8167
angelburg,50.8167,8.45
angelmodde,51.9167,7.6833
angelroda,50.75,10.8667
angelsberg,48.3667,12.4833
angenrod,50.7667,9.2
anger,47.6667,11.5833
angerhausen,51.3833,6.7333
angerhofe,48.4667,11.55
angermund,51.3333,6.7833
angermunde,53.0333,14
angern,52.35,11.7333
angersbach,50.6167,9.45
angersdorf,51.4667,11.9167
angerstein,51.6167,9.6
angfeld,49.4667,11.7
anglberg,48.45,11.7667
anhausen,48.2833,9.5
anhauserhofe,48.85,10.6667
anhofen,48.15,10.6
anholt,51.85,6.4333
ankelohe,53.6333,8.9
anker,53.6833,10.6333
ankershagen,53.4833,12.9667
anklam,53.8667,13.7
ankum,52.55,7.8833
anleng,48.5,13.1667
annaberg,50.5667,13
annaberg buchholz,50.5667,13
annaburg,51.7333,13.0333
annahutte,51.5667,13.9
annarode,51.55,11.4
annelsbach,49.7806,8.9592
annen,51.45,7.3667
annerod,50.5667,8.75
anning,47.9833,12.5667
annweiler,49.2,7.9667
annweiler am trifels,49.2,7.9667
anraff,51.1333,9.1333
anrath,51.2833,6.4667
anreppen,51.75,8.5667
anried,48.35,10.5667
anrochte,51.5667,8.3333
anrode,51.2667,10.3333
ansbach,49.3,10.5833
anschau,50.3,7.1
anspach,50.3,8.5167
antdorf,47.75,11.3
antesberg,48.65,13.4333
antfeld,51.3667,8.4667
antholing,47.95,11.9167
antholling,48.6167,13.2833
antoniusheim,52.0667,6.85
antonshohe,50.5,12.7667
antonsthal,50.5,12.7667
antrifttal,50.7667,9.1833
antrup,51.7333,7.2667
antweiler,50.4,6.8333
antwort,47.9,12.3
anwalting,48.4667,10.9333
